Target image,Source image,Target landmarks,Source landmarks,Image size [pixels],Image diagonal [pixels]
D:\Datasets\ScannerStudy\NanoZoomer2.0HT\CCMCT\N2_CCMCT_380609B_1.ndpi,D:\Datasets\ScannerStudy\Aperio\CCMCT\A_CCMCT_380609B_1.svs,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\N2_CCMCT_380609B_1.csv,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\A_CCMCT_380609B_1.csv,"(147456, 107008)",182192.1622902588
D:\Datasets\ScannerStudy\AxioScan\CCMCT\Z_CCMCT_380609B_1.tif,D:\Datasets\ScannerStudy\Aperio\CCMCT\A_CCMCT_380609B_1.svs,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\Z_CCMCT_380609B_1.csv,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\A_CCMCT_380609B_1.csv,"(144472, 110445)",181852.2939338407
D:\Datasets\ScannerStudy\NanoZoomerS210\CCMCT\N1_CCMCT_380609B_1.ndpi,D:\Datasets\ScannerStudy\Aperio\CCMCT\A_CCMCT_380609B_1.svs,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\N1_CCMCT_380609B_1.csv,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\A_CCMCT_380609B_1.csv,"(153600, 112640)",190475.01043443993
D:\Datasets\ScannerStudy\NanoZoomer2.0HT\CCMCT\N2_CCMCT_518711B_1.ndpi,D:\Datasets\ScannerStudy\Aperio\CCMCT\A_CCMCT_518711B_1.svs,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\N2_CCMCT_518711B_1.csv,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\A_CCMCT_518711B_1.csv,"(122880, 96768)",156408.24858043774
D:\Datasets\ScannerStudy\AxioScan\CCMCT\Z_CCMCT_518711B_1.tif,D:\Datasets\ScannerStudy\Aperio\CCMCT\A_CCMCT_518711B_1.svs,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\Z_CCMCT_518711B_1.csv,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\A_CCMCT_518711B_1.csv,"(119809, 93153)",151761.91185537959
D:\Datasets\ScannerStudy\NanoZoomerS210\CCMCT\N1_CCMCT_518711B_1.ndpi,D:\Datasets\ScannerStudy\Aperio\CCMCT\A_CCMCT_518711B_1.svs,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\N1_CCMCT_518711B_1.csv,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\A_CCMCT_518711B_1.csv,"(122880, 98560)",157523.23003290658
D:\Datasets\ScannerStudy\NanoZoomer2.0HT\CCMCT\N2_CCMCT_183715A_1.ndpi,D:\Datasets\ScannerStudy\Aperio\CCMCT\A_CCMCT_183715A_1.svs,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\N2_CCMCT_183715A_1.csv,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\A_CCMCT_183715A_1.csv,"(86016, 75008)",114126.91321506948
D:\Datasets\ScannerStudy\AxioScan\CCMCT\Z_CCMCT_183715A_1.tif,D:\Datasets\ScannerStudy\Aperio\CCMCT\A_CCMCT_183715A_1.svs,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\Z_CCMCT_183715A_1.csv,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\A_CCMCT_183715A_1.csv,"(85167, 72527)",111864.13016691276
D:\Datasets\ScannerStudy\NanoZoomerS210\CCMCT\N1_CCMCT_183715A_1.ndpi,D:\Datasets\ScannerStudy\Aperio\CCMCT\A_CCMCT_183715A_1.svs,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\N1_CCMCT_183715A_1.csv,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\A_CCMCT_183715A_1.csv,"(96000, 84480)",127878.34218506275
D:\Datasets\ScannerStudy\NanoZoomer2.0HT\CCMCT\N2_CCMCT_29609B_1.ndpi,D:\Datasets\ScannerStudy\Aperio\CCMCT\A_CCMCT_29609B_1.svs,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\N2_CCMCT_29609B_1.csv,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\A_CCMCT_29609B_1.csv,"(81920, 78336)",113346.43927358283
D:\Datasets\ScannerStudy\AxioScan\CCMCT\Z_CCMCT_29609B_1.tif,D:\Datasets\ScannerStudy\Aperio\CCMCT\A_CCMCT_29609B_1.svs,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\Z_CCMCT_29609B_1.csv,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\A_CCMCT_29609B_1.csv,"(86514, 81272)",118700.50623312438
D:\Datasets\ScannerStudy\NanoZoomerS210\CCMCT\N1_CCMCT_29609B_1.ndpi,D:\Datasets\ScannerStudy\Aperio\CCMCT\A_CCMCT_29609B_1.svs,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\N1_CCMCT_29609B_1.csv,D:\ProgProjekte\Python\Promotion\EIPH_WSI\MIDL2021\Registration\BIRL\Landmarks\A_CCMCT_29609B_1.csv,"(122880, 92928)",154062.02511975492
