epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.398966,0.390366,0.700992,0.113050,0.277316,0.703998,0.697987,16:40
1,0.228889,0.533657,0.600450,0.087129,0.446528,0.328706,0.872194,19:11
2,0.199130,0.237122,0.782768,0.074822,0.162300,0.673654,0.891882,12:44
3,0.175592,0.302158,0.710823,0.075948,0.226210,0.716286,0.705361,09:20
4,0.157192,0.288664,0.736933,0.061909,0.226756,0.826724,0.647143,12:40
5,0.140337,0.266800,0.787017,0.056472,0.210328,0.842980,0.731053,12:42
6,0.129971,0.194650,0.818263,0.056409,0.138242,0.837968,0.798559,11:00
7,0.111482,0.181461,0.854798,0.053469,0.127992,0.840595,0.869001,12:04
8,0.105437,0.163205,0.866988,0.046812,0.116393,0.845360,0.888616,11:01
9,0.097611,0.154797,0.868517,0.045914,0.108883,0.840417,0.896617,10:43
