epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,1.470511,1.275923,0.142387,0.375611,0.900312,0.149742,0.135032,15:37
1,0.804092,0.648594,0.499956,0.234066,0.414528,0.588936,0.410977,20:01
2,0.513580,0.411189,0.669135,0.140861,0.270328,0.687115,0.651155,19:43
3,0.369728,0.424594,0.678153,0.136206,0.288388,0.676649,0.679657,13:50
4,0.279095,0.296834,0.642308,0.080709,0.216124,0.742573,0.542042,12:32
5,0.230565,0.317694,0.725512,0.095263,0.222431,0.770735,0.680288,14:41
6,0.197241,0.236189,0.799938,0.076953,0.159236,0.778029,0.821846,14:20
7,0.171710,0.235200,0.774785,0.067306,0.167894,0.799945,0.749625,12:04
8,0.156871,0.219598,0.788963,0.062756,0.156842,0.819138,0.758788,13:29
9,0.148277,0.212930,0.801148,0.061976,0.150954,0.826312,0.775985,13:18
