epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.402928,0.250229,nan,0.052839,0.197390,0.727773,0.764444,0.244364,0.649332,nan,17:27
1,0.198313,0.141703,nan,0.037522,0.104181,0.851157,0.683876,0.528641,0.629870,nan,17:07
2,0.151120,0.150270,nan,0.035545,0.114725,0.809120,0.782971,0.471664,0.694805,nan,16:43
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.150479,0.179701,nan,0.034641,0.145060,0.774731,0.753283,0.965270,0.666667,nan,17:07
1,0.162974,0.255394,nan,0.043977,0.211418,0.760826,0.763467,0.998702,1.000000,nan,16:50
2,0.236570,0.187898,nan,0.049695,0.138203,0.863470,0.486764,0.637062,0.711239,nan,17:05
3,0.163662,0.149462,nan,0.036606,0.112857,0.791258,0.802178,0.632258,0.652941,nan,16:54
4,0.151641,0.129808,nan,0.034131,0.095677,0.855144,0.807433,0.571299,0.000000,nan,17:16
5,0.129130,0.173129,nan,0.038929,0.134200,0.805688,0.738803,0.510958,0.657785,nan,16:57
6,0.115925,0.141844,nan,0.032904,0.108940,0.861501,0.759814,0.328173,0.650685,nan,17:12
7,0.104798,0.112187,nan,0.027868,0.084318,0.882779,0.802907,0.627644,0.739130,nan,16:53
8,0.097402,0.115477,nan,0.026289,0.089188,0.875248,0.777854,0.640710,0.755102,nan,16:56
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.101618,0.121925,nan,0.029046,0.092879,0.872876,0.798569,0.629561,0.695946,nan,17:09
1,0.121534,0.178684,nan,0.052560,0.126124,0.853038,0.801115,0.512024,0.546798,nan,17:06
2,0.128827,0.146066,nan,0.031347,0.114718,0.794076,0.822214,0.805195,0.651163,nan,16:54
3,0.147733,0.211558,nan,0.039609,0.171949,0.747917,0.718823,0.273124,0.000000,nan,17:01
4,0.119601,0.159954,nan,0.029373,0.130581,0.795043,0.785653,0.329932,0.692810,nan,17:06
6,0.100403,0.115732,nan,0.026596,0.089136,0.893863,0.689376,0.512839,0.625806,nan,17:03
7,0.089357,0.111251,nan,0.027810,0.083440,0.872797,0.839746,0.629195,0.650000,nan,17:09
8,0.087468,0.103349,nan,0.023974,0.079375,0.888003,0.839137,0.648042,0.655914,nan,16:45
9,0.085650,0.101864,nan,0.024438,0.077426,0.894590,0.818824,0.653967,0.703947,nan,16:59
