epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.429326,0.396163,0.592863,0.085322,0.310841,0.728475,0.457252,08:36
1,0.234366,0.354415,0.709493,0.060770,0.293646,0.713187,0.705798,08:24
2,0.230144,0.399988,0.675157,0.080650,0.319338,0.797951,0.552363,08:29
3,0.197074,0.232399,0.743307,0.047076,0.185322,0.797858,0.688756,08:32
4,0.183705,0.217584,0.766884,0.043006,0.174578,0.775798,0.757971,08:08
5,0.157419,0.283390,0.734088,0.045692,0.237697,0.793736,0.674440,08:04
6,0.145346,0.232208,0.755540,0.039697,0.192512,0.774672,0.736408,08:20
7,0.132744,0.224500,0.758594,0.036623,0.187877,0.820633,0.696556,07:50
8,0.125507,0.225561,0.760515,0.035393,0.190168,0.816947,0.704083,07:37
9,0.118226,0.210428,0.771022,0.032964,0.177464,0.807762,0.734283,05:00
