epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.391741,0.378131,0.704134,0.133527,0.244604,0.762882,0.645387,24:54
1,0.221890,0.335946,0.720443,0.098194,0.237751,0.735810,0.705077,25:03
2,0.204400,0.402764,0.600406,0.099833,0.302932,0.578074,0.622738,33:36
3,0.187777,0.256160,0.807203,0.080676,0.175484,0.875427,0.738980,15:40
4,0.167017,0.355209,0.679975,0.085157,0.270052,0.666683,0.693266,21:39
5,0.147246,0.271294,0.757262,0.081649,0.189644,0.832925,0.681598,25:49
6,0.140119,0.256126,0.766349,0.066811,0.189315,0.812070,0.720629,21:29
7,0.129523,0.279518,0.760149,0.059951,0.219567,0.838763,0.681535,25:06
8,0.113551,0.234544,0.764143,0.054177,0.180367,0.858439,0.669848,22:55
9,0.107990,0.249706,0.768557,0.054797,0.194909,0.868444,0.668670,26:46
