epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.227402,0.304762,0.648172,0.054574,0.250188,0.633187,0.675184,0.610957,0.657185,0.664348,04:11
1,0.205316,0.242091,0.696858,0.049506,0.192584,0.672074,0.739511,0.614498,0.712665,0.745542,04:11
2,0.175733,0.234368,0.705735,0.045992,0.188376,0.648760,0.742472,0.733686,0.651077,0.752679,04:11
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.170653,0.264366,0.668102,0.048760,0.215607,0.654570,0.749602,0.617160,0.697488,0.621692,04:10
1,0.196473,0.349095,0.551988,0.058972,0.290123,0.418085,0.686307,0.666232,0.667398,0.321917,04:11
2,0.202221,0.295507,0.658232,0.063482,0.232024,0.635163,0.560290,0.686578,0.632100,0.777028,04:15
3,0.197239,0.390021,0.653233,0.076344,0.313677,0.558933,0.607864,0.675612,0.675559,0.748199,04:09
4,0.189104,0.313518,0.636606,0.063239,0.250279,0.591396,0.702179,0.632979,0.646305,0.610172,04:12
5,0.173381,0.303584,0.590837,0.055355,0.248229,0.614794,0.701305,0.648876,0.506049,0.483160,04:14
6,0.149568,0.326641,0.645095,0.053055,0.273586,0.575852,0.707684,0.706855,0.590329,0.644754,04:12
7,0.133625,0.342713,0.635879,0.057541,0.285172,0.574924,0.726539,0.662986,0.576512,0.638434,04:10
8,0.119716,0.342405,0.645501,0.055898,0.286507,0.570679,0.712091,0.674654,0.640541,0.629539,04:12
9,0.114830,0.350770,0.641907,0.056099,0.294671,0.568130,0.698173,0.710013,0.616020,0.617199,04:10
