epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.218972,0.272407,0.688362,0.061705,0.210702,0.727843,0.554404,0.668569,0.731611,0.759381,04:17
1,0.209277,0.208322,0.709973,0.046093,0.162229,0.723530,0.750418,0.719690,0.630973,0.725252,04:11
2,0.180356,0.182431,0.751165,0.039844,0.142587,0.747332,0.793199,0.722523,0.697136,0.795636,04:11
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.177252,0.192041,0.731232,0.041470,0.150572,0.723181,0.753053,0.778564,0.634446,0.766914,04:15
1,0.208110,0.255759,0.626066,0.047904,0.207855,0.552501,0.570619,0.679333,0.709618,0.618257,04:11
2,0.217606,0.299949,0.624130,0.051753,0.248196,0.751070,0.471473,0.452787,0.664133,0.781186,04:13
3,0.278419,0.242046,0.700400,0.051087,0.190959,0.688051,0.781405,0.632939,0.605445,0.794159,04:19
4,0.232052,0.216600,0.694465,0.048436,0.168164,0.692956,0.753278,0.711933,0.591189,0.722969,04:15
5,0.208703,0.207056,0.689303,0.043597,0.163459,0.752710,0.792324,0.626182,0.498141,0.777155,04:13
6,0.196777,0.197181,0.761342,0.042263,0.154918,0.770384,0.759161,0.686117,0.745207,0.845844,04:10
7,0.180018,0.208183,0.697086,0.042787,0.165395,0.640322,0.815236,0.630910,0.609287,0.789674,04:12
8,0.164043,0.188572,0.724355,0.040337,0.148235,0.752684,0.789267,0.692502,0.601660,0.785664,04:13
9,0.166074,0.181805,0.755204,0.040212,0.141593,0.760316,0.807682,0.727062,0.674750,0.806207,04:12
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.170788,0.194301,0.744343,0.042892,0.151409,0.768755,0.777524,0.718834,0.670249,0.786354,04:13
1,0.191669,0.212154,0.744676,0.047558,0.164596,0.758568,0.745912,0.704132,0.688318,0.826448,04:11
2,0.218626,0.263967,0.709632,0.050715,0.213252,0.748272,0.774319,0.435645,0.716712,0.873215,04:09
3,0.203849,0.238094,0.715407,0.052010,0.186084,0.760109,0.650568,0.661143,0.691099,0.814119,04:12
4,0.213507,0.226490,0.675830,0.049429,0.177061,0.608918,0.781113,0.605044,0.599673,0.784402,04:15
5,0.199623,0.214177,0.736183,0.050241,0.163936,0.724346,0.764277,0.662331,0.719022,0.810938,04:10
6,0.191600,0.202091,0.743836,0.044582,0.157509,0.727982,0.760472,0.704562,0.764223,0.761943,04:15
7,0.177714,0.188906,0.752585,0.042855,0.146051,0.764686,0.790679,0.743350,0.646722,0.817489,04:12
8,0.163017,0.181120,0.758438,0.038172,0.142948,0.746719,0.786063,0.789007,0.678540,0.791860,04:11
9,0.159199,0.182160,0.744006,0.040373,0.141788,0.766998,0.785504,0.782732,0.666855,0.717942,04:11
