epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.714861,0.474820,0.303633,0.108422,0.366399,0.457838,0.435528,0.192402,0.424279,0.008121,05:06
1,0.387344,0.349365,0.477583,0.078971,0.270394,0.387057,0.644283,0.559821,0.297247,0.499503,04:46
2,0.283938,0.268554,0.645735,0.060674,0.207879,0.656379,0.732530,0.606392,0.486666,0.746709,04:41
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.288005,0.306996,0.636124,0.068477,0.238519,0.656383,0.678618,0.497853,0.611768,0.735999,04:42
1,0.357535,0.404389,0.459541,0.114362,0.290027,0.394242,0.733568,0.327621,0.521519,0.320753,04:37
2,0.367409,0.432079,0.313852,0.087691,0.344388,0.415530,0.439669,0.131353,0.396186,0.186523,04:16
3,0.375671,0.385099,0.451811,0.077791,0.307308,0.539756,0.490531,0.323946,0.443893,0.460931,04:14
4,0.301399,0.315775,0.538183,0.071574,0.244200,0.664498,0.727937,0.458234,0.422793,0.417455,04:22
5,0.275467,0.285103,0.622221,0.067502,0.217602,0.694509,0.683562,0.707891,0.348172,0.676974,04:29
6,0.247487,0.259136,0.653011,0.060345,0.198791,0.622671,0.734055,0.649637,0.626478,0.632214,04:24
7,0.223343,0.238846,0.590186,0.053787,0.185059,0.772345,0.746497,0.644875,0.408246,0.378967,04:19
8,0.203138,0.224793,0.715786,0.052787,0.172006,0.750882,0.757903,0.697871,0.673361,0.698913,04:14
9,0.192255,0.216136,0.718000,0.049686,0.166450,0.755478,0.754896,0.706319,0.621306,0.752003,04:16
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.204376,0.232524,0.683567,0.052553,0.179971,0.745365,0.731475,0.707897,0.513063,0.720035,04:14
1,0.244378,0.265261,0.631183,0.060185,0.205076,0.657766,0.628460,0.674365,0.457532,0.737794,04:14
2,0.279819,0.480991,0.496262,0.072834,0.408157,0.053819,0.694181,0.522601,0.559950,0.650758,04:23
3,0.283154,0.278291,0.580982,0.062672,0.215619,0.577031,0.714582,0.550136,0.447826,0.615332,04:14
4,0.250312,0.273683,0.659075,0.072349,0.201334,0.629293,0.714059,0.688020,0.538779,0.725224,04:14
5,0.233618,0.249189,0.672810,0.059877,0.189312,0.607945,0.725659,0.659646,0.644669,0.726134,04:15
6,0.217626,0.240700,0.703261,0.056220,0.184480,0.745718,0.763113,0.559880,0.716890,0.730705,04:11
7,0.197916,0.215850,0.650046,0.046311,0.169539,0.654507,0.771525,0.731284,0.499094,0.593820,04:12
8,0.185689,0.209746,0.727965,0.045573,0.164174,0.766949,0.777416,0.696366,0.592055,0.807038,04:13
9,0.176173,0.199899,0.728039,0.045578,0.154321,0.755750,0.773774,0.717408,0.619804,0.773458,04:13
