epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.452835,0.384439,0.640592,0.101185,0.283255,0.572714,0.708470,08:37
1,0.296937,0.303608,0.685751,0.085419,0.218189,0.664784,0.706718,10:30
2,0.272376,0.272274,0.720517,0.064307,0.207968,0.654542,0.786493,10:03
3,0.254781,0.303679,0.650683,0.066364,0.237316,0.612085,0.689281,06:56
4,0.218217,0.330531,0.536850,0.052985,0.277546,0.395788,0.677912,08:26
5,0.197914,0.255459,0.724792,0.054049,0.201411,0.753882,0.695701,08:31
6,0.173849,0.240063,0.785226,0.043523,0.196540,0.747000,0.823451,08:27
7,0.160884,0.193042,0.788856,0.037335,0.155707,0.746829,0.830883,08:39
8,0.147247,0.237825,0.709790,0.040176,0.197650,0.590807,0.828772,08:30
9,0.143024,0.196074,0.790111,0.036922,0.159152,0.728314,0.851908,08:43
