epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.622955,0.482044,0.386356,0.083903,0.398141,0.512791,0.642018,0.258126,0.055372,0.463474,04:35
1,0.351201,0.316115,0.461473,0.074019,0.242096,0.593513,0.686552,0.443910,0.203404,0.379988,04:22
2,0.272833,0.268422,0.554586,0.060676,0.207746,0.661587,0.749713,0.637691,0.223455,0.500485,04:18
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.272786,0.288102,0.582809,0.062151,0.225952,0.659993,0.675215,0.569353,0.327763,0.681720,04:24
1,0.320605,0.365590,0.405928,0.068013,0.297577,0.448104,0.711888,0.439715,0.011988,0.417943,04:23
2,0.334393,0.347723,0.466306,0.084563,0.263160,0.335255,0.746571,0.408244,0.352335,0.489127,04:28
3,0.319990,0.394141,0.311450,0.082108,0.312033,0.226030,0.712934,0.506905,0.111379,0.000000,04:32
4,0.280209,0.323919,0.564302,0.077398,0.246522,0.612350,0.701801,0.600580,0.370905,0.535876,04:29
5,0.270469,0.290201,0.597452,0.065227,0.224974,0.652647,0.775049,0.568209,0.296452,0.694902,04:26
6,0.245764,0.276321,0.546787,0.053300,0.223021,0.613409,0.698693,0.485849,0.263059,0.672923,04:17
7,0.218017,0.247445,0.598833,0.052909,0.194535,0.702588,0.754557,0.586786,0.454064,0.496172,04:22
8,0.205911,0.239944,0.605130,0.051723,0.188221,0.729696,0.741561,0.630272,0.394060,0.530063,04:20
9,0.199144,0.239107,0.606588,0.050781,0.188326,0.723175,0.751514,0.605432,0.384291,0.568525,04:19
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.207005,0.251079,0.560634,0.051472,0.199607,0.715693,0.732123,0.614063,0.263257,0.478034,04:19
1,0.250285,0.350172,0.417241,0.059789,0.290383,0.651247,0.577614,0.369397,0.079915,0.408035,04:13
2,0.262196,0.440417,0.422834,0.106755,0.333661,0.376621,0.727457,0.588078,0.118881,0.303131,04:36
3,0.263252,0.355253,0.614746,0.075803,0.279450,0.620354,0.535047,0.536676,0.579055,0.802598,04:24
4,0.249539,0.267730,0.601874,0.058011,0.209718,0.721567,0.716904,0.625434,0.478589,0.466875,04:20
5,0.228991,0.294238,0.518631,0.055454,0.238783,0.680503,0.644368,0.469034,0.264056,0.535194,04:18
6,0.218247,0.254099,0.583218,0.053496,0.200603,0.677600,0.794918,0.562756,0.353590,0.527225,04:22
7,0.198110,0.232391,0.606473,0.049534,0.182857,0.718177,0.752308,0.609872,0.410623,0.541384,04:18
8,0.186802,0.238501,0.571380,0.048743,0.189758,0.720020,0.734174,0.603879,0.309069,0.489760,04:20
9,0.184687,0.238946,0.592302,0.048456,0.190490,0.729487,0.734900,0.622792,0.338767,0.535565,04:19
