epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.478968,0.275429,0.773063,0.078657,0.196772,0.729741,0.816384,04:34
1,0.285793,0.212532,0.823302,0.061201,0.151331,0.787845,0.858759,04:34
2,0.290780,0.250500,0.785081,0.055205,0.195295,0.722746,0.847416,04:39
3,0.264420,0.229522,0.791837,0.060430,0.169092,0.706084,0.877590,04:39
4,0.219859,0.223348,0.767272,0.053423,0.169924,0.658985,0.875558,07:49
5,0.205387,0.198309,0.783519,0.046804,0.151505,0.804211,0.762826,04:57
6,0.177343,0.182771,0.813357,0.036589,0.146182,0.723796,0.902918,04:32
7,0.164046,0.158586,0.858905,0.035076,0.123510,0.821487,0.896322,04:36
8,0.148435,0.135500,0.875000,0.030182,0.105318,0.854158,0.895843,04:34
9,0.140045,0.136487,0.877828,0.031770,0.104717,0.855515,0.900140,04:53
