epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.483625,0.451358,0.497350,0.117905,0.333453,0.712748,0.281952,02:43
1,0.302349,0.602121,0.372105,0.093439,0.508681,0.152618,0.591592,02:43
2,0.288693,0.500925,0.611965,0.112306,0.388620,0.708975,0.514955,02:34
3,0.205310,0.323707,0.689635,0.093914,0.229793,0.643511,0.735760,02:37
4,0.190697,0.398306,0.629533,0.075757,0.322549,0.741055,0.518011,02:44
5,0.168600,0.274109,0.687823,0.062583,0.211526,0.778529,0.597117,02:40
6,0.155002,0.325379,0.653083,0.064886,0.260494,0.778195,0.527971,04:30
7,0.128484,0.265840,0.736253,0.053409,0.212431,0.769806,0.702700,02:38
8,0.110899,0.233597,0.758915,0.051877,0.181720,0.806734,0.711096,02:37
9,0.104137,0.241712,0.739934,0.051474,0.190239,0.798189,0.681680,02:36
