epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.448978,0.474547,0.681018,0.170036,0.304511,0.597696,0.764340,13:52
1,0.311662,0.342114,0.732464,0.106522,0.235592,0.621944,0.842984,15:38
2,0.271366,0.362515,0.714921,0.098888,0.263627,0.637831,0.792011,12:08
3,0.254813,0.396602,0.750956,0.102897,0.293705,0.729646,0.772266,10:29
4,0.234186,0.317853,0.786704,0.088374,0.229479,0.759270,0.814138,10:11
5,0.232392,0.365951,0.720026,0.095510,0.270441,0.644465,0.795588,18:09
6,0.187024,0.365565,0.705522,0.074802,0.290762,0.612963,0.798080,15:20
7,0.171131,0.266223,0.814809,0.070335,0.195888,0.765359,0.864259,15:50
8,0.155343,0.257039,0.791065,0.065805,0.191233,0.735848,0.846281,17:35
9,0.151453,0.267726,0.783370,0.066283,0.201444,0.725323,0.841418,14:47
