epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.569811,0.605916,0.327368,0.154655,0.451261,0.058973,0.595764,27:21
1,0.314604,0.581922,0.465748,0.125757,0.456165,0.592500,0.338996,21:21
2,0.307336,0.989291,0.552184,0.097745,0.891546,0.646474,0.457894,25:34
3,0.252466,0.533106,0.655180,0.213291,0.319816,0.689679,0.620681,21:29
4,0.243084,0.297278,0.674936,0.071521,0.225757,0.507730,0.842142,20:39
5,0.215663,0.278278,0.720491,0.062072,0.216207,0.739671,0.701311,17:00
6,0.186905,0.284064,0.729691,0.062412,0.221652,0.775471,0.683911,14:22
7,0.163691,0.240584,0.776706,0.057403,0.183181,0.748172,0.805239,12:39
8,0.146983,0.243977,0.797834,0.050824,0.193153,0.774600,0.821068,12:54
9,0.140239,0.240186,0.789123,0.051290,0.188896,0.790192,0.788054,12:42
