epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.493953,0.391822,0.543896,0.075213,0.316609,0.596963,0.618053,0.556216,0.389575,0.558676,04:29
1,0.272057,0.392976,0.593037,0.073836,0.319140,0.618840,0.648787,0.588426,0.497373,0.611759,04:27
2,0.212429,0.294712,0.679143,0.060772,0.233940,0.595818,0.703581,0.690017,0.622325,0.783973,04:20
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.201692,0.360851,0.662449,0.057920,0.302932,0.644531,0.554652,0.673522,0.657417,0.782126,04:25
1,0.282279,0.501918,0.507272,0.098311,0.403607,0.459144,0.633508,0.637994,0.525628,0.280085,04:31
2,0.241296,0.369202,0.634340,0.068102,0.301100,0.631616,0.662731,0.474333,0.610873,0.792146,04:25
3,0.219640,0.412783,0.674785,0.077870,0.334913,0.628322,0.664137,0.638375,0.704947,0.738144,04:27
4,0.193611,0.312933,0.673672,0.069169,0.243765,0.513257,0.706538,0.694515,0.665021,0.789029,04:26
5,0.177737,0.288371,0.695801,0.062282,0.226089,0.620307,0.727204,0.728716,0.667753,0.735026,04:24
6,0.158780,0.322400,0.671644,0.058252,0.264148,0.611582,0.698080,0.677988,0.691292,0.679278,04:26
7,0.145753,0.325807,0.704743,0.058914,0.266893,0.649292,0.741389,0.732366,0.642074,0.758597,04:26
8,0.136065,0.336200,0.691793,0.054334,0.281866,0.640924,0.740573,0.689151,0.661341,0.726975,04:29
9,0.128770,0.326327,0.704377,0.053873,0.272454,0.612324,0.747729,0.703096,0.694142,0.764596,04:25
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.136210,0.367678,0.669080,0.055079,0.312599,0.589361,0.716664,0.695637,0.575101,0.768636,04:23
1,0.154085,0.341266,0.665591,0.068595,0.272672,0.537025,0.718499,0.712132,0.568150,0.792148,04:24
2,0.183193,0.417674,0.648904,0.058130,0.359544,0.522652,0.639493,0.632635,0.677092,0.772650,04:27
3,0.184513,0.509717,0.666414,0.072648,0.437069,0.473814,0.773570,0.602877,0.668709,0.813101,04:36
4,0.159535,0.330478,0.649220,0.069590,0.260888,0.654486,0.668102,0.696695,0.661005,0.565812,04:24
5,0.152345,0.340891,0.685323,0.058948,0.281942,0.569471,0.718374,0.737195,0.642520,0.759056,04:25
6,0.136276,0.340218,0.674726,0.053252,0.286966,0.583711,0.733591,0.634523,0.723303,0.698505,04:23
7,0.129038,0.368323,0.680781,0.053503,0.314820,0.506107,0.757232,0.681432,0.671381,0.787753,04:27
8,0.118060,0.325982,0.689007,0.050752,0.275231,0.602850,0.721633,0.687144,0.701785,0.731624,04:25
9,0.117006,0.363036,0.701239,0.051937,0.311098,0.591783,0.729394,0.698199,0.702530,0.784291,04:26
