epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.436168,0.368174,0.644195,0.105801,0.262373,0.562033,0.726356,32:35
1,0.237520,0.311702,0.799099,0.088706,0.222996,0.770783,0.827416,20:52
2,0.203626,0.233123,0.822653,0.071187,0.161936,0.752687,0.892618,25:34
3,0.177158,0.211993,0.847651,0.071896,0.140097,0.821751,0.873551,21:43
4,0.162890,0.188325,0.870640,0.060466,0.127859,0.828389,0.912891,26:21
5,0.139770,0.174559,0.872297,0.056700,0.117859,0.854948,0.889647,32:41
6,0.128402,0.165326,0.896982,0.058945,0.106381,0.869627,0.924338,25:10
7,0.114608,0.156791,0.894810,0.052044,0.104747,0.851874,0.937746,12:54
8,0.103210,0.168468,0.883778,0.052839,0.115629,0.837096,0.930461,13:09
9,0.095985,0.162671,0.894315,0.051096,0.111575,0.846992,0.941639,12:59
