epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.487706,0.318901,0.513807,0.085048,0.233852,0.773451,0.764872,0.490284,0.402884,0.137545,43:38
1,0.264330,0.183643,0.681511,0.057366,0.126277,0.844455,0.881930,0.816629,0.608738,0.255805,35:14
2,0.197079,0.144950,0.729121,0.045451,0.099499,0.860639,0.875700,0.853081,0.795410,0.260773,31:18
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.202149,0.156465,0.747727,0.047550,0.108915,0.887823,0.850965,0.848785,0.831219,0.319845,32:17
1,0.235758,0.170180,0.701692,0.052251,0.117929,0.874472,0.870081,0.797008,0.783902,0.182995,29:37
2,0.229344,0.167541,0.715070,0.048023,0.119518,0.886363,0.828206,0.864087,0.817602,0.179094,31:20
3,0.241298,0.220226,0.643701,0.071221,0.149005,0.822105,0.838453,0.854545,0.449834,0.253567,30:40
4,0.203659,0.186330,0.708690,0.076347,0.109983,0.898666,0.874897,0.835441,0.818452,0.115992,32:04
5,0.174426,0.160183,0.720148,0.045717,0.114466,0.912597,0.871953,0.772601,0.842570,0.201018,28:29
6,0.157027,0.114525,0.769555,0.040044,0.074481,0.918220,0.890647,0.894035,0.852715,0.292159,27:29
7,0.141781,0.111468,0.760538,0.036785,0.074683,0.916529,0.918680,0.858727,0.861736,0.247020,27:54
8,0.131278,0.100155,0.777971,0.034372,0.065783,0.919133,0.921610,0.884444,0.868638,0.296031,29:09
9,0.127840,0.104940,0.765442,0.034580,0.070361,0.926135,0.922639,0.863469,0.888838,0.226130,27:53
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.134913,0.117817,0.764182,0.037405,0.080412,0.948846,0.880516,0.853916,0.849177,0.288454,26:39
1,0.150448,0.138345,0.754417,0.042759,0.095586,0.921464,0.868137,0.836167,0.877759,0.268557,26:22
2,0.177550,0.158952,0.739409,0.055742,0.103210,0.874486,0.934127,0.852769,0.812007,0.223657,28:27
3,0.169626,0.148289,0.744686,0.044414,0.103875,0.921159,0.837090,0.778529,0.870594,0.316059,27:32
4,0.158224,0.148982,0.729974,0.041963,0.107019,0.927385,0.899798,0.791012,0.860397,0.171278,27:33
5,0.146266,0.115637,0.747269,0.039697,0.075940,0.883318,0.916621,0.908788,0.754499,0.273119,28:40
6,0.135067,0.146151,0.754007,0.058868,0.087284,0.902284,0.920464,0.820406,0.824621,0.302261,30:48
7,0.123216,0.109185,0.761993,0.038286,0.070899,0.911350,0.912321,0.890062,0.844585,0.251647,28:56
8,0.117349,0.097842,0.778282,0.032532,0.065310,0.922092,0.915032,0.882516,0.877533,0.294236,27:25
9,0.113616,0.097010,0.770959,0.031896,0.065114,0.917354,0.920672,0.895187,0.867957,0.253625,27:43
