epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,3.475022,3.415299,0,0.550989,2.864310,0,0,01:25
1,3.437827,2.679344,0,0.471531,2.207813,0,0,01:20
2,3.136150,65.713425,0.089681,1.302891,64.410553,0.074084,0.105278,36:06
3,11.230958,2.915882,0,0.557341,2.358541,0,0,01:19
4,9.482812,3.888151,0,0.703003,3.185148,0,0,01:19
5,8.468731,4.076350,0,0.607866,3.468484,0,0,01:20
6,7.755323,3.908332,0,0.505666,3.402667,0,0,01:20
7,7.214229,3.753709,0,0.496822,3.256888,0,0,01:19
8,6.783976,3.672589,0,0.501718,3.170871,0,0,01:19
9,6.433822,3.634449,0,0.499227,3.135222,0,0,01:20
