epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.524982,0.394613,0.621523,0.122733,0.271880,0.459063,0.783984,47:22
1,0.332707,0.316650,0.764916,0.098716,0.217933,0.665866,0.863966,12:40
2,0.319376,0.359444,0.818580,0.076987,0.282458,0.814603,0.822557,10:35
3,0.242059,0.218286,0.872746,0.073207,0.145079,0.843167,0.902325,16:04
4,0.231378,0.242375,0.788349,0.063879,0.178496,0.709902,0.866795,15:11
5,0.207217,0.292990,0.795691,0.064421,0.228569,0.699463,0.891918,12:10
6,0.181114,0.213240,0.847660,0.054887,0.158353,0.779297,0.916022,12:18
7,0.158321,0.161517,0.901084,0.050381,0.111136,0.890766,0.911403,12:51
8,0.147808,0.165625,0.898285,0.048040,0.117585,0.875577,0.920993,12:17
9,0.141395,0.168415,0.897487,0.047124,0.121291,0.871185,0.923789,12:10
